symbol,date,hour,exchange
ADX,2022-9-20,15:56,binance
IRIS,2022-9-17,13:24,binance
STEEM,2022-9-16,11:05,binance
BTS,2022-9-15,12:57,binance
PROM,2022-9-15,8:52,binance
REQ,2022-9-11,14:42,binance
ARDR,2022-9-11,12:21,binance
SUPER,2022-9-11,11:54,binance
AGIX,2022-9-11,9:19,binance
PIVX,2022-9-11,8:41,binance
GTO,2022-9-6,10:52,binance
CVX,2022-9-6,6:53,binance
WABI,2022-9-1,8:32,binance
SUPER,2022-8-29,15:19,binance
AION,2022-8-29,10:29,binance
ELF,2022-8-28,9:20,binance
ADX,2022-8-26,14:08,binance
CTXC,2022-8-26,12:18,binance
DOCK,2022-8-24,7:37,binance
AION,2022-8-23,10:43,binance
NEXO,2022-8-20,4:56,binance
OAX,2022-8-18,14:03,binance
ELF,2022-8-14,11:50,binance
VIB,2022-8-14,7:00,binance
IDEX,2022-8-14,6:32,binance
WABI,2022-8-14,3:31,binance
PHA,2022-8-11,15:51,binance
BEAM,2022-8-7,17:40,binance
SUPER,2022-8-5,8:46,binance
BRD,2022-7-30,11:38,binance
FOR,2022-7-29,14:55,binance
SUPER,2022-7-29,10:39,binance
AGIX,2022-7-29,8:32,binance
VIB,2022-7-27,11:54,binance
RNDR,2022-7-24,7:29,binance
MDA,2022-7-23,13:16,binance
FXS,2022-7-22,11:31,binance
DOCK,2022-7-21,10:48,binance
LOKA,2022-7-18,13:00,binance
OCEAN,2022-7-17,17:10,binance
FIO,2022-7-17,15:56,binance
VIB,2022-7-16,16:28,binance
DOCK,2022-7-16,15:09,binance
BEAM,2022-7-16,12:31,binance
CTXC,2022-7-15,10:08,binance
MDT,2022-7-14,18:23,binance
PHA,2022-7-14,11:45,binance
LOKA,2022-7-14,5:37,binance
DOCK,2022-7-13,17:06,binance
HIGH,2022-7-13,9:56,binance
PIVX,2022-7-12,15:36,binance
MLN,2022-7-12,12:33,binance
ADX,2022-7-11,14:09,binance
VIB,2022-7-11,13:45,binance
BEAM,2022-7-9,13:41,binance
OAX,2022-7-1,9:25,binance
ATM,2022-3-22,10:45,binance
ASR,2022-3-22,10:08,binance
AST,2022-3-19,16:04,binance
ATA,2022-3-16,18:52,binance
MITH,2022-3-14,14:12,binance
SNM,2022-3-14,10:00,binance
POND,2022-3-13,14:57,binance
FIRO,2022-3-13,9:57,binance
FOR,2022-3-12,6:41,binance
MDX,2022-2-15,12:41,binance
OG,2022-2-15,10:26,binance
KLAY,2022-2-14,20:10,binance
FOR,2022-2-13,15:10,binance
SKL,2022-2-13,10:21,binance
NEBL,2022-2-11,14:30,binance
GRS,2022-2-9,14:08,binance
ELF,2022-2-7,14:39,binance
BTG,2022-2-7,12:24,binance
QLC,2022-2-5,16:50,binance
DEGO,2022-2-4,12:30,binance
AGIX,2022-2-3,14:40,binance
BICO,2022-2-3,12:54,binance
OG,2022-2-3,9:49,binance
MDX,2022-2-2,18:04,binance
ASR,2022-1-27,12:19,binance
OM,2022-1-26,11:31,binance
SNM,2022-1-26,11:12,binance
OG,2022-1-26,11:03,binance
QLC,2022-1-26,10:41,binance
PIVX,2022-1-24,18:59,binance
PIVX,2022-1-18,16:00,binance
ELF,2022-1-17,17:46,binance
ATM,2022-1-12,17:37,binance
ASR,2022-1-9,16:30,binance
POWR,2022-1-8,8:10,binance
VIB,2022-1-2,17:12,binance
NEBL,2022-1-2,17:00,binance
ATM,2021-12-31,18:32,binance
PIVX,2021-12-28,14:27,binance
POWR,2021-12-28,14:13,binance
PNT,2021-12-26,18:53,binance
RAMP,2021-12-26,15:45,binance
TCT,2021-12-25,14:13,binance
OG,2021-12-25,13:55,binance
AGIX,2021-12-24,17:21,binance
CTXC,2021-12-24,12:49,binance
NEBL,2021-12-24,12:39,binance
RDN,2021-12-17,13:47,binance
RAMP,2021-12-16,14:52,binance
AST,2021-12-16,14:04,binance
SNT,2021-12-16,12:47,binance
NXS,2021-12-16,2:32,binance
AST,2021-12-9,6:00,binance
TCT,2021-12-9,2:20,binance
QLC,2021-12-8,18:54,binance
SNM,2021-12-7,16:00,binance
GRS,2021-12-6,16:00,binance
ADX,2021-12-6,6:45,binance
NEBL,2021-12-5,15:00,binance
NXS,2021-12-4,12:59,binance
ELF,2021-12-2,19:30,binance
QSP,2021-11-30,12:31,binance
VIB,2021-11-29,7:49,binance
ALPHA,2021-11-29,5:21,binance
VIB,2021-11-28,18:53,binance
PHB,2021-11-28,17:00,binance
GRS,2021-11-28,16:01,binance
FXS,2021-11-28,15:48,binance
VIB,2021-11-28,15:26,binance
FOR,2021-11-28,7:09,binance
GXS,2021-11-27,16:50,binance
NXS,2021-11-27,16:37,binance
TKO,2021-11-27,10:49,binance
ELF,2021-11-26,4:19,binance
NAV,2021-11-26,1:21,binance
MDA,2021-11-23,15:00,binance
REQ,2021-11-23,11:54,binance
ARDR,2021-11-21,13:27,binance
PIVX,2021-11-21,11:08,binance
NXS,2021-11-20,13:36,binance
RAMP,2021-11-19,11:03,binance
APPC,2021-11-16,16:22,binance
NXS,2021-11-16,16:00,binance
NAS,2021-11-14,15:00,binance
EVX,2021-11-12,16:00,binance
ATM,2021-11-12,15:43,binance
ASR,2021-11-12,15:36,binance
NAS,2021-11-12,14:37,binance
EVX,2021-11-11,12:29,binance
OAX,2021-11-9,16:56,binance
SUPER,2021-11-9,3:49,binance
EPS,2021-11-8,14:12,binance
VIB,2021-11-7,18:58,binance
VIB,2021-11-7,17:21,binance
MTH,2021-11-7,17:00,binance
NXS,2021-11-6,11:02,binance
NULS,2021-11-5,19:11,binance
QSP,2021-11-5,9:46,binance
BRD,2021-11-4,13:36,binance
REQ,2021-11-4,13:16,binance
BEL,2021-11-4,9:41,binance
FIRO,2021-11-3,16:25,binance
MTH,2021-11-3,6:29,binance
OAX,2021-11-2,16:16,binance
CHR,2021-11-1,14:57,binance
VIB,2021-10-31,17:06,binance
BRD,2021-10-31,15:00,binance
DUSK,2021-10-31,9:29,binance
NEBL,2021-10-30,17:30,binance
RDN,2021-10-30,16:06,binance
NXS,2021-10-30,5:24,binance
VIB,2021-10-27,21:13,binance
ARDR,2021-10-26,17:06,binance
GRS,2021-10-26,15:15,binance
SC,2021-10-26,10:46,binance
VIB,2021-10-24,19:15,binance
EVX,2021-10-24,17:00,binance
IDEX,2021-10-24,14:47,binance
FOR,2021-10-24,14:00,binance
VIB,2021-10-24,9:05,binance
SNT,2021-10-23,16:31,binance
ADX,2021-10-23,16:15,binance
AGIX,2021-10-22,13:28,binance
POA,2021-10-21,16:00,binance
EVX,2021-10-21,11:24,binance
NXS,2021-10-21,10:59,binance
RDN,2021-10-21,7:41,binance
BRD,2021-10-20,16:54,binance
AVAX,2021-10-19,13:03,binance
BEAM,2021-10-17,17:48,binance
ANT,2021-10-17,7:27,binance
WAXP,2021-10-16,17:35,binance
IRIS,2021-10-16,17:14,binance
GXS,2021-10-16,16:20,binance
PNT,2021-10-15,15:52,binance
IRIS,2021-10-14,20:49,binance
WABI,2021-10-14,15:00,binance
GXS,2021-10-13,14:27,binance
POND,2021-10-13,14:16,binance
BRD,2021-10-12,17:19,binance
SKL,2021-10-12,16:58,binance
VIB,2021-10-12,11:36,binance
VIB,2021-10-12,10:27,binance
WNXM,2021-10-10,17:00,binance
VIB,2021-10-10,5:31,binance
VIB,2021-10-9,17:20,binance
NXS,2021-10-9,14:38,binance
POA,2021-10-9,13:13,binance
ADX,2021-10-9,6:27,binance
NAV,2021-10-8,16:17,binance
SKY,2021-10-8,15:42,binance
VIB,2021-10-8,12:40,binance
QSP,2021-10-8,12:10,binance
ANT,2021-10-7,5:39,binance
BTCST,2021-10-7,5:27,binance
QLC,2021-10-5,18:15,binance
SKY,2021-10-5,15:00,binance
GTO,2021-10-5,12:54,binance
EVX,2021-10-3,16:51,binance
GXS,2021-10-2,17:32,binance
QLC,2021-10-2,11:03,binance
APPC,2021-9-30,14:07,binance
MTH,2021-9-28,14:18,binance
SUPER,2021-9-25,11:07,binance
FIO,2021-9-23,14:20,binance
NXS,2021-9-22,16:00,binance
EVX,2021-9-22,14:24,binance
PNT,2021-9-22,13:14,binance
NEBL,2021-9-22,13:07,binance
NAV,2021-9-21,13:50,binance
FXS,2021-9-19,17:00,binance
BRD,2021-9-19,14:51,binance
AION,2021-9-18,12:47,binance
CTXC,2021-9-15,17:00,binance
PIVX,2021-9-15,15:29,binance
CHZ,2021-9-14,12:30,binance
RDN,2021-9-13,18:10,binance
GTO,2021-9-12,12:40,binance
DLT,2021-9-11,16:00,binance
ROSE,2021-9-11,12:22,binance
PHB,2021-9-11,11:42,binance
ALGO,2021-9-11,7:24,binance
QLC,2021-9-10,17:41,binance
AVAX,2021-9-10,12:16,binance
OAX,2021-9-10,12:13,binance
SOL,2021-9-9,17:48,binance
FUN,2021-9-9,14:00,binance
NEAR,2021-9-8,8:26,binance
ADX,2021-9-7,14:28,binance
ALGO,2021-9-6,16:53,binance
SFP,2021-9-6,11:06,binance
DOGE,2021-9-5,23:32,binance
NXS,2021-9-5,17:39,binance
VIB,2021-9-5,17:00,binance
MDA,2021-9-5,11:03,binance
PNT,2021-9-4,18:00,binance
ALPHA,2021-9-2,17:03,binance
CHZ,2021-9-1,8:38,binance
SKL,2021-8-30,18:40,binance
BRD,2021-8-29,17:00,binance
ICP,2021-8-29,13:38,binance
BNB,2021-8-29,12:54,binance
KEEP,2021-8-27,19:27,binance
GXS,2021-8-27,16:00,binance
QSP,2021-8-27,15:50,binance
BLZ,2021-8-24,6:38,binance
TCT,2021-8-24,0:51,binance
SRM,2021-8-22,20:31,binance
NAS,2021-8-22,17:00,binance
POND,2021-8-22,13:10,binance
GVT,2021-8-21,16:00,binance
FOR,2021-8-21,13:04,binance
AION,2021-8-20,13:41,binance
WRX,2021-8-20,11:40,binance
ARPA,2021-8-20,4:13,binance
NU,2021-8-20,2:08,binance
FOR,2021-8-17,12:03,binance
OAX,2021-8-17,2:54,binance
CTXC,2021-8-16,5:46,binance
ADX,2021-8-15,17:31,binance
BEAM,2021-8-15,16:48,binance
RDN,2021-8-15,4:13,binance
MDA,2021-8-10,17:38,binance
ARPA,2021-8-10,4:44,binance
ARPA,2021-8-9,17:57,binance
AVAX,2021-8-8,13:44,binance
APPC,2021-8-8,1:00,binance
ANKR,2021-8-7,15:16,binance
CTXC,2021-8-7,14:59,binance
BRD,2021-8-6,11:34,binance
LSK,2021-8-6,3:31,binance
EVX,2021-8-5,4:02,binance
BTS,2021-8-2,23:13,binance
NEBL,2021-7-30,9:24,binance
ARPA,2021-7-27,13:47,binance
DREP,2021-7-25,17:00,binance
EVX,2021-7-25,15:29,binance
NXS,2021-7-25,15:22,binance
QLC,2021-7-25,12:03,binance
FOR,2021-7-25,4:24,binance
GRS,2021-7-24,16:58,binance
GVT,2021-7-24,16:40,binance
POA,2021-7-23,13:03,binance
FOR,2021-7-18,18:34,binance
REQ,2021-7-17,16:57,binance
CTSI,2021-7-16,14:50,binance
TRU,2021-7-16,14:35,binance
POA,2021-7-11,17:00,binance
OAX,2021-7-11,12:00,binance
VIA,2021-7-10,14:42,binance
FIS,2021-7-7,19:06,binance
ARPA,2021-7-7,13:35,binance
TWT,2021-7-6,14:30,binance
MDA,2021-7-5,16:14,binance
NEBL,2021-7-5,15:17,binance
IDEX,2021-7-3,16:12,binance
LINK,2021-7-1,21:10,binance
QSP,2021-7-1,19:07,binance
DLT,2021-7-1,17:52,binance
OAX,2021-6-29,14:27,binance
ARPA,2021-6-28,17:30,binance
DOGE,2021-6-27,19:14,binance
MTH,2021-6-27,17:00,binance
ADX,2021-6-26,16:08,binance
ELF,2021-6-24,15:55,binance
WABI,2021-6-20,17:00,binance
TRU,2021-6-20,14:36,binance
NAV,2021-6-20,11:00,binance
VIA,2021-6-19,17:48,binance
CDT,2021-6-18,14:22,binance
NAS,2021-6-16,16:29,binance
ARK,2021-6-16,15:09,binance
SXP,2021-6-16,10:32,binance
CTXC,2021-6-15,16:41,binance
ONE,2021-6-15,16:36,binance
REP,2021-6-15,16:00,binance
RLC,2021-6-15,15:54,binance
OST,2021-6-15,15:53,binance
MATIC,2021-6-14,12:31,binance
DLT,2021-6-13,17:01,binance
FIO,2021-6-13,17:01,binance
LIT,2021-6-13,16:59,binance
QSP,2021-6-13,16:00,binance
GVT,2021-6-12,14:45,binance
POA,2021-6-11,14:54,binance
QLC,2021-6-9,16:13,binance
WABI,2021-6-7,13:28,binance
CND,2021-6-6,17:00,binance
MTH,2021-6-6,17:00,binance
POA,2021-6-6,10:49,binance
ELF,2021-6-6,8:48,binance
MTL,2021-6-4,17:59,binance
ENJ,2021-6-3,12:55,binance
REEF,2021-6-3,5:04,binance
EOS,2021-6-1,15:21,binance
